"similarity","source_a","slide_a","title_a","source_b","slide_b","title_b"
"0.984","9月份改掌運卡.pptx","8","問牌的方法","掌運撲克牌卡課程0305.pptx","6","問牌的方法"
"0.946","9月份改掌運卡.pptx","47","QK KQ","掌運撲克牌卡課程0305.pptx","35","QK KQ"
"0.862","9月份改掌運卡.pptx","23","4 4雙 風 疊","掌運撲克牌卡課程0305.pptx","29","4 4"
"0.847","9月份改掌運卡.pptx","46","JQ QJ","掌運撲克牌卡課程0305.pptx","34","JQ QJ"
"0.843","9月份改掌運卡.pptx","28","7 7，不論花色，若在身體的問題中出現，","掌運撲克牌卡課程0305.pptx","32","7 7"
"0.828","9月份改掌運卡.pptx","40","4 4雙風疊","掌運撲克牌卡課程0305.pptx","29","4 4"
"0.814","9月份改掌運卡.pptx","6","紙牌的秘密","掌運撲克牌卡課程0305.pptx","4","紙牌的秘密"
"0.812","9月份改掌運卡.pptx","41","46","掌運撲克牌卡課程0305.pptx","30","46"
"0.789","9月份改掌運卡.pptx","19","2 2雙 鬼 合","掌運撲克牌卡課程0305.pptx","27","2 2"
"0.781","9月份改掌運卡.pptx","44","43","掌運撲克牌卡課程0305.pptx","32","7 7"
"0.774","9月份改掌運卡.pptx","38","2 2雙鬼合","掌運撲克牌卡課程0305.pptx","27","2 2"
"0.773","9月份改掌運卡.pptx","45","9Q","掌運撲克牌卡課程0305.pptx","33","9Q"
"0.768","9月份改掌運卡.pptx","26","6 6，只要黑梅 不出現在後，","掌運撲克牌卡課程0305.pptx","31","6 6"
"0.766","9月份改掌運卡.pptx","12","紅心Heart：","掌運撲克牌卡課程0305.pptx","9","四種花色所象徵"
"0.748","9月份改掌運卡.pptx","42","55","掌運撲克牌卡課程0305.pptx","36","55"
"0.74","9月份改掌運卡.pptx","11","四種花色所象徵","掌運撲克牌卡課程0305.pptx","8","四種花色所象徵"
"0.729","9月份改掌運卡.pptx","14","黑梅Clud：","掌運撲克牌卡課程0305.pptx","11","四種花色所象徵"
"0.718","9月份改掌運卡.pptx","13","紅磚Diamond：","掌運撲克牌卡課程0305.pptx","10","四種花色所象徵"
"0.718","9月份改掌運卡.pptx","43","6 6","掌運撲克牌卡課程0305.pptx","31","6 6"
"0.665","9月份改掌運卡.pptx","20","(不確定牌有理性感性兩面)","掌運撲克牌卡課程0305.pptx","14","(不確定牌有理性感性兩面)"
"0.627","9月份改掌運卡.pptx","10","撲克牌的十三個數字","掌運撲克牌卡課程0305.pptx","7","撲克牌的十三個數字"
"0.625","9月份改掌運卡.pptx","7","問牌需知","掌運撲克牌卡課程0305.pptx","5","問牌需知"
"0.624","9月份改掌運卡.pptx","25","難解之結","掌運撲克牌卡課程0305.pptx","17","難解之結"
"0.599","9月份改掌運卡.pptx","27","美麗的彩虹","掌運撲克牌卡課程0305.pptx","18","美麗的彩虹"
"0.588","9月份改掌運卡.pptx","48","1010","掌運撲克牌卡課程0305.pptx","37","1010"
"0.576","9月份改掌運卡.pptx","17","全心全意","掌運撲克牌卡課程0305.pptx","12","全心全意"
"0.573","9月份改掌運卡.pptx","3","二.","掌運撲克牌卡課程0305.pptx","2","二."
"0.559","9月份改掌運卡.pptx","49","時間計算規則(不看花色)","掌運撲克牌卡課程0305.pptx","38","時間計算規則"
"0.527","9月份改掌運卡.pptx","22","有快樂、鬆散、自在美好、放鬆的狀態","掌運撲克牌卡課程0305.pptx","15","有快樂、自在、美好的狀態 但也有著飄盪、不穩的因素，雖然有一些小 狀況，也不會產生太大的影響，有分離、遠 行、離職、異動、精神不安寧等徵兆"
"0.513","9月份改掌運卡.pptx","51","好+好=好牌 o+o=o","掌運撲克牌卡課程0305.pptx","39","好+好=好牌"
"0.5","9月份改掌運卡.pptx","29","理想是可以實現，希望是可達成的，事事圓滿如意，也有遠方的味道、有溫暖感有形象良好之姿","掌運撲克牌卡課程0305.pptx","19","理想是可以實現，希望是可達成的，事事 圓滿如意，也有遠方的味道"
"0.426","9月份改掌運卡.pptx","37","36","掌運撲克牌卡課程0305.pptx","36","55"
"0.418","9月份改掌運卡.pptx","39","3 3 J J","掌運撲克牌卡課程0305.pptx","28","3 3"
"0.408","9月份改掌運卡.pptx","30","是一種工具、必需具備的能力，斧頭有正反面或破壞的力量，代表要處理，建設，操作的力量","掌運撲克牌卡課程0305.pptx","20","是一種工具、必需具備的能力，"
"0.361","9月份改掌運卡.pptx","18","會有一些阻礙、不順利 反對的力量","掌運撲克牌卡課程0305.pptx","13","會有一些阻礙、不順利、反對的力量，也可以解釋是自己心裡有鬼！也可以解釋為磁場被干擾(不那麼好)"
"0.352","9月份改掌運卡.pptx","33","代表自信、強大的執行力、富貴、圓滿、光鮮亮麗的，皇后是整副牌中最強而有力的一張(展現是不分男女性別的)","掌運撲克牌卡課程0305.pptx","23","代表自信、強大的執行力、富貴、圓滿、光鮮 亮麗的，皇后是整副牌中最強而有力的一張"
"0.335","9月份改掌運卡.pptx","24","代表感情、事業、人際關係上有良好穩定的發展、有家的感覺、","掌運撲克牌卡課程0305.pptx","16","代表感情、事業、人際關係上有良好穩定的發展、有家的感覺、也代表身體健康"
"0.306","9月份改掌運卡.pptx","31","財富之神","掌運撲克牌卡課程0305.pptx","21","財富之神"
"0.265","9月份改掌運卡.pptx","34","代表權威、寬廣、福氣、佔有力強、","掌運撲克牌卡課程0305.pptx","24","代表權威、寬廣、福氣、佔有力強、"
"0.258","9月份改掌運卡.pptx","32","精銳戰士","掌運撲克牌卡課程0305.pptx","22","精銳戰士"
