"source_file","slide_number","title","body_text","speaker_notes","shape_count","picture_count","table_count","chart_count","smartart_count","media_count","text_characters"
"9月份改掌運卡.pptx","1","掌運卡","掌運卡
映照課程
0
人人可用
自由提問
內在連結
自由探索內在
感知能量狀態","","6","1","0","0","0","0","39"
"9月份改掌運卡.pptx","2","在一千多年前的中國，人們開始用手中小小的紙牌，來傳遞故事與情感。","在一千多年前的中國，人們開始用手中小小的紙牌，來傳遞故事與情感。
那時叫做「葉子戲」，像葉片一樣輕巧，每一張都載著人們的希望與想像。
後來，這些紙牌沿著商旅之路，穿越沙漠，越過海洋，來到了中東與歐洲。
在歐洲，人們為紙牌賦予了花色與符號，將黑桃、紅心、方塊、梅花，
刻進牌面，成為秩序與寓意的象徵。
從一片葉子到一副牌，撲克牌記錄了文化的流轉，也藏著心靈的呼喚。
而掌運卡，便是在這條古老的路上，拾起屬於我們自己的答案
1
1. 中國唐朝 — 葉子戲（最早期的紙牌遊戲）
2. 中東 — 馬穆魯克紙牌（出現了花色與宮廷牌）
3. 歐洲 — 花色與宮廷牌標準化（黑桃、紅心、方塊、梅花）
4. 現代 — 撲克牌成型（成為全球通用的52張牌）
5. 掌運卡 — 回歸精神（從最原始的本質重新啟動提問）","","4","0","0","0","0","0","348"
"9月份改掌運卡.pptx","3","二.","二.
自我靈性覺知，
藉由自身的提問，
啟動真如的自我靈性牽引肉身的選牌
找出凡身的迷失及解決方法
一.
何謂撲克牌掌運卡，
就是慧、 智的結合，
心智與洞察力
至少有兩種不同的意思
A. 指智力與思考力
B. 指對人有啟發引導
他人深刻洞察
四： 不算命不看運，
除迷解惑，運勢自明
除去迷惑直指人心
三. 融合道、法、術、 器、勢、志六字真言的顯化
2
學習掌運卡不止是自我成長
更是成為溫柔引導他人力量
志
器
法
術
識
道","","26","3","0","0","0","0","216"
"9月份改掌運卡.pptx","4","六字真言淺談","六字真言淺談
【道】→ 你的生命信仰與靈性源頭
「道」是意識、意圖、願景、使命，指引你存在的核心來源與方向。
融合意義：顯化的「初衷」，沒有道，就容易迷失。
【法】→ 你的行動準則與實踐方法
「法」是將內在信仰體化為具體行動的規範與過程，是讓理想得以實現的道路。
融合意義：貫徹的「路徑」，沒有法，理想無法落地。
【術】→ 你的執行手法與靈活技巧
「術」是根據法則之下，靈活運用的各種操作與執行技巧，是具體行動的方法。
融合意義：落地的「手段」，沒有術，難以靈活達成。
【器】→ 你的技能資源與實踐工具
「器」是你在世界上使用的各種工具、資源與技藝，協助你完成任務與目標。
融合意義：實現的「工具」，沒有器，執行受限。
【識】→ 你的覺察力與判斷智慧
「識」是看清現實、辨別對錯、選擇方向的能力，幫助你在變化中保持清明。
融合意義：指引的「明燈」，沒有識，容易迷失與誤判。
【志】→ 你的目標動力與推進能量
「志」是你想要達成的志向與抱負，是推動你不斷前行、跨越困難的內在驅動力。
融合意義：燃燒的「動力」，沒有志，容易途中耗竭。
3","","3","0","0","0","0","0","467"
"9月份改掌運卡.pptx","5","【掌運卡的核心概念】","【掌運卡的核心概念】
市面上的牌卡種類繁多，其中最廣為人知的就是塔羅牌。
而這些系統的源頭，其實可以追溯到最初的撲克牌結構。
掌運卡映照課程回歸這份純粹——
以提問為起點，帶著專注的心境，選取當下最呼應內心的1~6張牌，
連結提問與答案。
這不只是抽牌，而是一次直覺與運勢的對話。
市面上大多數的牌卡—
無論塔羅、神諭卡、靈性卡—其實都源自最原始的撲克牌系統。
掌運卡承襲這份起源與精神，保留了最單純、最貼近直覺的抽卡方式：
以雙手承接每一次提問，憑內心的呼喚，選出當下最有感應的牌卡。
這就是掌運卡的精神——運在手中，心之所向。
準備好了 開始嘍！ ！
4","","4","1","0","0","0","0","279"
"9月份改掌運卡.pptx","6","紙牌的秘密","紙牌的秘密
撲克牌的起源是源於記錄天體運行，將其內涵和西洋曆法做比對，就可以明白:
5
一副撲克牌有54張，52張數字牌、
2張Joker(看好更好看壞更壞)、不屬於4大花色要取出
4個花色、2種顏色(白天晚上)
A： 52張是一整年52個星期
B：黑桃(S)、紅心(H)、方塊(D)、梅花(C).
代表春(萬物發展)、夏(熱情) 、秋(智慧) 、冬季(枯萎轉變)
C：每季13張，表示一季13星期
D：每種圖案共13張（A-K）
把J當十一點， Q當十二點，K當十三點，
數字加起來是91 ,而每季平均也是91天
E：91天×4季=364，加小Joker為365天，恰巧是一年正常天數
F：大Joker代表閏年多的那一天，每4年2月就會有29日
G：全牌只有兩色，紅色表白天，黑表夜晚","","6","1","0","0","0","0","343"
"9月份改掌運卡.pptx","7","問牌需知","問牌需知
※ 不疑不問
首先請靜下心來
※ 在心中默念想要問的問題，任何想知道的人、事、時、地、物都可 設定為想問的問題（問問題時人事時地物要明確）
※解析問題分析(影響因素)是提問的第一步，所以要先確定人、事、時、地、物
※ 可以自己問問題，也可幫他人問，但一次只能問一個問題，
如果問題涉及人物對象可在心裡默念其姓名並想著對方的形象，則會更加的精準
※ 一事不二問，但可改變問法來問同樣的問題，解牌不是算命不預設立場
※ 居心要正，凡問邪事、投機、賭博等，或心存邪念、妄想者不靈 驗
6
(一誠心誠意 二不重複問 三尊重過程，玩過遊戲的牌要分別)
、
※不問生死/不問投機取巧之事/不問生孩子性別/不問他人隱私","時","9","1","0","0","0","0","307"
"9月份改掌運卡.pptx","8","問牌的方法","問牌的方法
第二張牌代表著最後的結果或是該如何解決的方案
問題
心裡想著要問的問題，並一方面洗牌，
並依序每翻一張牌後，需再洗牌(不可說話邊說邊問)，
然後再翻牌翻出的第一張牌為前因，
前因有好有壞，若是好的前因則代表目前是樂觀的，壞因則是目前有困難的，
但是要看第二張牌，結論才知最後的結果果報
7","","6","1","0","0","0","0","150"
"9月份改掌運卡.pptx","9","8","8
1張展現當下的「淺」在能量心境是訊息的翻譯器
2張對錯判斷是非問題過去與現在的連結
3張牌是心態/健康牌問題完整脈絡
（過去現在未來）（內心外部結果）
4張牌是關係走向情感波動親密互動變化（感情愛情婚姻）
5張牌是合作關係利益結構事業動力（事業合作資源互動）
6能量全圖內外矛盾壓力源和動機身體狀況（磁場牌複雜的議題）
1-6牌卡意義
OO=O
XX=X
OX=X
XO=O","","6","1","0","0","0","0","189"
"9月份改掌運卡.pptx","10","撲克牌的十三個數字","撲克牌的十三個數字
及
其四種花色的含意
撲克牌有13個數字代表13種角色，而4種花色，則可
以解釋成這些角色的個性，一副牌有52張，4種花色
因此若每個問題用兩張牌解釋展的話會有2652種機率出現
花色的含義(花色有無限的延展，問題有無限的發展)
黑桃Spade：男性的、陽剛的、標準的、固執的、專注的、木訥的、霸氣的、率直的 、挑戰的，壓力的
紅心Heart：女性的，柔情的、溫暖的、有愛心的、甜蜜的、圓滿的、善良的 、情感、關係、內心需求
紅磚Diamond：金錢、事業、權力、挑剔的、強烈的 、有力量的、物質、
財富、實際資源、鑽牛角尖的、精明的
黑梅C clud：消極、拖延的、破壞的、不再用心的、比原來狀態差的、晃神的、混亂的、
暴躁、頹喪、挫折
9
花色是象徵的意義核心
每種花色對應不同層面的重點","","12","4","0","0","0","0","356"
